submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
496754,MKFMIKU,23.34 (1),0.82 (1),0.70 (4),0.00 (2),0.00 (2),
496170,junpyo_hong,23.05 (2),0.81 (3),10.43 (2),0.00 (2),0.00 (2),
498755,kh3005,23.00 (3),0.82 (2),0.02 (7),0.00 (2),0.00 (2),
496684,zyz987,22.46 (4),0.80 (7),0.03 (6),0.00 (2),0.00 (2),
496529,iim_lab,22.34 (5),0.81 (4),0.80 (3),0.00 (2),0.00 (2),
488468,chosj95,22.23 (6),0.80 (6),100.00 (1),0.00 (2),0.00 (2),
494545,balint,22.09 (7),0.81 (5),10.43 (2),0.00 (2),0.00 (2),
496905,wataridori2010,21.33 (8),0.78 (8),0.03 (5),0.00 (2),0.00 (2),
496082,yellowmagicorch,21.22 (9),0.77 (11),0.03 (5),0.00 (2),0.00 (2),
489914,catchchaos,21.03 (10),0.78 (9),10.43 (2),0.00 (2),0.00 (2),
492239,wyb123568,20.28 (11),0.77 (10),0.01 (8),1.00 (1),0.00 (2),
492138,yexin,19.84 (12),0.68 (12),100.00 (1),1.00 (1),0.00 (2),
493469,houbingxin,18.22 (13),0.49 (13),0.01 (9),0.00 (2),0.00 (2),
500862,sangmin_kim,8.36 (14),0.31 (14),10.43 (2),1.00 (1),1.00 (1),
