submission_pk,User,score
1060064,hansih,76.7757 (1),
889863,fcelik,75.2422 (2),
889486,fatihbeyhan,74.5650 (3),
898414,lbouscarrat,70.9263 (4),
913427,dominiks,68.7613 (5),
