submission_pk,User,PQ4D,mAQ,mIoU
1147577,quanyyds,0.637 (1),0.676 (1),0.600 (4),
962261,rmarcuzzi,0.631 (2),0.657 (3),0.606 (3),
932210,noah820,0.623 (3),0.658 (2),0.589 (5),
1115129,texli,0.609 (4),0.548 (6),0.677 (1),
1120331,ai_lab,0.605 (5),0.547 (7),0.669 (2),
1106701,axa,0.573 (6),0.571 (4),0.575 (6),
728794,mehmetTUM,0.569 (7),0.564 (5),0.574 (7),
