submission_pk,User,CD_Loss@Com,Rot_Error@Reg,Trans_Error@Reg,MSE@Reg
974018,Dizzy,1.00000 (1),3.00053 (3),0.02103 (1),0.07340 (1),
969522,Junyi-an,1.00000 (1),13.70021 (8),0.04878 (7),0.28789 (8),
967839,Junyi-an0827,1.00000 (1),20.66070 (13),0.14816 (10),0.50875 (10),
983665,qlwang,1.00000 (1),2.90970 (1),0.02739 (5),0.07818 (3),
971151,zhulf0804,1.00000 (1),2.96546 (2),0.02632 (2),0.07808 (2),
957764,ymy1998,1.00000 (1),44.51976 (18),0.40528 (18),1.18230 (18),
970984,TP,1.00000 (1),5.14550 (5),0.02638 (4),0.11619 (5),
970980,jixulaizhan,1.00000 (1),7.51393 (6),0.03176 (6),0.16290 (6),
969377,dilireba,1.00000 (1),4.07106 (4),0.02636 (3),0.09741 (4),
969958,lisheng,1.00000 (1),10.43491 (7),0.05418 (8),0.23630 (7),
967368,ytxuz7,1.00000 (1),20.54292 (12),0.18673 (12),0.54528 (12),
967093,wxx7,1.00000 (1),20.87371 (14),0.19457 (14),0.55888 (14),
962206,zhen3614,1.00000 (1),22.19449 (16),0.21774 (16),0.60511 (15),
961102,Wy_Z,1.00000 (1),162.79680 (19),1.04710 (20),3.88844 (20),
957224,WuQian,1.00000 (1),19.52883 (11),0.20512 (15),0.54597 (13),
956901,Myles,1.00000 (1),18.36464 (10),0.18912 (13),0.50964 (11),
955230,alanhsu24,1.00000 (1),166.02069 (20),0.89615 (19),3.79376 (19),
950916,hwzhao,1.00000 (1),18.36175 (9),0.16803 (11),0.48850 (9),
949181,wanghy,1.00000 (1),28.98092 (17),0.13823 (9),0.64404 (17),
935942,shisenwang,1.00000 (1),22.18972 (15),0.22295 (17),0.61024 (16),
