submission_pk,User,MRAE,RMSE
579232,Deep-imagelab,0.03 (1),- (-),
578529,ppplang,0.04 (2),- (-),
578086,ninaqian,0.04 (3),- (-),
579164,zyz987,0.04 (4),- (-),
574791,ZHU_zy,0.04 (5),- (-),
579006,honeygupta,0.04 (6),- (-),
579041,fubarabjs,0.05 (7),- (-),
860986,Achraf,0.05 (8),- (-),
587586,akashpalrecha,0.05 (9),- (-),
569669,sunnyvick,0.05 (10),- (-),
566882,PARASITE,0.05 (11),- (-),
631876,mittalshubham,0.06 (12),- (-),
568200,rupak_arya,0.06 (13),- (-),
591893,sabarinathan,0.08 (14),- (-),
585020,Achiever11,0.08 (15),- (-),
579104,Tasti,0.10 (16),- (-),
604241,tomanut,0.18 (17),- (-),
542314,Sid,0.21 (18),- (-),
549975,BurningAllthing,0.91 (19),- (-),
578986,Hpeng,1.51 (20),- (-),
1017637,lengtianran1,4.24 (21),- (-),
557472,tensorcat,5.28 (22),- (-),
988221,DanielRojas,662.26 (23),- (-),
