submission_pk,User,Average AP,FPS
487241,Dark-Knight,0.4438 (1),10.715 (3),
486381,icecreamgu,0.4340 (2),31.797 (1),
483119,wider,0.4272 (3),10.263 (4),
487286,wuqiman,0.3702 (4),14.979 (2),
