submission_pk,User,F1,MAP
429536,jinaobo,- (-),,
428384,shallowLearner,- (-),,
429571,cryptexcode,- (-),,
429572,ldane,- (-),,
425478,AP_HOU_assign1,- (-),,
425578,charmander,- (-),,
425068,blackbishop,- (-),,
425778,UH_RiTUAL,- (-),,
428240,the_chosen_one,- (-),,
429618,gigabytex,- (-),,
425652,tthomas63,- (-),,
429595,na14,- (-),,
429597,mxluo,- (-),,
