submission_pk,User,Mean,F (Junction),F (Wireframe),F (Plane)
662780,dongho.choi,2.33 (2),0.8781 (1),0.7418 (3),0.9651 (3),
662513,Fromandtozh,2.67 (3),0.8747 (2),0.7531 (2),0.9615 (4),
662731,sunset1995,1.67 (1),0.8727 (3),0.7545 (1),0.9686 (1),
662753,sus17,3.33 (4),0.8619 (4),0.6964 (4),0.9685 (2),
659094,Lunhao,5.00 (5),0.7547 (5),0.5544 (5),0.8371 (5),
662826,MirceaH,6.00 (6),0.2728 (6),0.0377 (6),0.8363 (6),
