submission_pk,User,CIDEr,Bleu-1,Bleu-2,Bleu-3,Bleu-4,METEOR,ROUGE-L
626251,IVA-CASIA,0.59 (1),0.82 (1),0.64 (1),0.46 (1),0.33 (2),0.32 (1),0.56 (1),
626855,SRCB_ML_Lab,0.50 (2),0.80 (2),0.63 (2),0.46 (2),0.33 (1),0.30 (2),0.50 (2),
626774,acdart,0.30 (3),0.69 (3),0.46 (3),0.30 (3),0.19 (3),0.26 (3),0.46 (3),
824649,youLu,0.28 (4),0.68 (4),0.45 (4),0.29 (4),0.18 (4),0.26 (4),0.46 (4),
