submission_pk,User,DCF,EER
820384,t_ema,0.1670 (1),3.1870 (1),
818866,starwind,0.1690 (2),3.1990 (2),
712369,JTBD,0.1772 (3),3.7270 (6),
805553,skyriver,0.1814 (4),3.3980 (3),
756241,xx205,0.1931 (5),3.7690 (7),
713466,ntorgashov,0.2028 (6),3.8200 (8),
713457,AntonOkhotnikov,0.2032 (7),3.9390 (11),
713474,makarov,0.2033 (8),3.9400 (12),
688228,DKU-DukeECE,0.2041 (9),3.9620 (13),
711458,njz,0.2046 (10),3.9740 (14),
711471,Rhinos,0.2054 (11),3.9860 (15),
711484,xyz123xyz,0.2077 (12),4.0320 (18),
710625,paranoid_android,0.2081 (13),4.0460 (19),
717859,hellosid,0.2119 (14),4.0150 (16),
713470,B15,0.2120 (15),4.0170 (17),
740388,TFZ,0.2124 (16),3.8990 (9),
759554,fxi,0.2152 (17),3.5020 (4),
759597,sgspk,0.2172 (18),3.5280 (5),
740328,yufeng,0.2226 (19),4.2050 (22),
711359,gbarbadillo,0.2298 (20),4.4030 (27),
713425,matejkap,0.2332 (21),4.6230 (30),
747575,gmh2020,0.2392 (22),4.3240 (25),
712578,iyakovlev,0.2402 (23),4.9410 (34),
757165,shengyu,0.2404 (24),3.9100 (10),
712752,navdeep,0.2417 (25),4.4790 (29),
710977,clovaai,0.2495 (26),4.2260 (23),
712983,yanli.chen,0.2538 (27),4.2040 (21),
712788,yong.chun,0.2546 (28),4.2480 (24),
712853,Ares-UIBE,0.2548 (29),4.2030 (20),
818997,qyhong,0.2597 (30),4.7280 (31),
713310,iehppp2010,0.2610 (31),4.3540 (26),
896959,testteam,0.2614 (32),5.0210 (37),
710170,GaoHaitao,0.2639 (33),4.4050 (28),
764309,GREAT,0.2719 (34),5.3320 (44),
716593,alumae,0.2746 (35),4.8930 (33),
712070,DTDwind,0.2747 (36),5.1680 (40),
764223,GREAT_SHU,0.2781 (37),5.3050 (43),
710722,rwang,0.2800 (38),4.7770 (32),
710800,semi,0.2857 (39),5.6050 (45),
904611,brent,0.2931 (40),5.7930 (47),
711383,sfshen,0.2973 (41),4.9700 (35),
715956,ChokJohn,0.3051 (42),5.0110 (36),
702567,ShaneZju,0.3098 (43),5.0760 (38),
696153,ShaneRun,0.3098 (43),5.0760 (38),
708693,DeltaE,0.3104 (44),5.0840 (39),
753328,NickZhang,0.3120 (45),5.9480 (48),
702292,SangjikHan,0.3146 (46),5.1890 (41),
707322,zh794390558,0.3214 (47),5.2520 (42),
700174,gintautasd,0.3525 (48),5.6700 (46),
713220,hwidong,0.3780 (49),7.1500 (49),
697913,deep_art,0.4275 (50),8.3570 (53),
711592,OrangeLuyao,0.4327 (51),9.3790 (54),
694726,miquelindia90,0.4527 (52),9.7130 (56),
688509,vggoxford,0.4771 (53),7.6890 (50),
712434,chislab,0.4813 (54),7.9330 (51),
743765,mhsa,0.4992 (55),10.1350 (58),
738834,CMB-AILab,0.5116 (56),8.3370 (52),
710320,shaoniandeni,0.5313 (57),10.4490 (59),
685850,JunhyeokLee,0.5555 (58),9.7060 (55),
698319,Khoa_NCU,0.5733 (59),10.0070 (57),
