submission_pk,User,F1,Accuracy,Precision,Recall
779921,mohamedgabr96,0.3104 (1),0.5102 (1),0.3501 (1),0.3062 (1),
784533,mekki,0.3064 (2),0.4950 (2),0.3291 (2),0.3034 (2),
781002,Aviad.rom,0.2610 (3),0.4270 (4),0.2704 (4),0.2588 (3),
786050,anshul.wadhawan,0.2356 (4),0.4332 (3),0.2805 (3),0.2334 (4),
779024,licvol,0.2109 (5),0.4050 (5),0.2629 (5),0.2002 (5),
781054,elsayedissa,0.1985 (6),0.3990 (6),0.2289 (6),0.1966 (6),
793736,MahaJ.,0.1806 (7),0.3848 (7),0.2270 (7),0.1739 (7),
793567,hamada_nayel,0.1441 (8),0.3278 (8),0.2016 (8),0.1411 (8),
