submission_pk,User,norec,multibooked_ca,multibooked_eu,opener_en,opener_es,mpqa,darmstadt_unis,Average score
1065129,zhixiaobao,0.532 (1),0.722 (2),0.674 (2),0.729 (1),0.671 (4),0.454 (1),0.470 (1),0.607 (1),
1064315,Fadi,0.482 (4),0.723 (1),0.708 (1),0.710 (2),0.705 (1),0.318 (3),0.403 (2),0.578 (2),
1054719,Cong666,0.517 (2),0.711 (3),0.657 (3),0.693 (3),0.677 (3),0.321 (2),0.398 (3),0.568 (3),
1067098,luxinyu,0.488 (3),0.683 (4),0.610 (4),0.677 (4),0.687 (2),0.279 (4),0.314 (4),0.534 (4),
1061558,ljzsky,0.282 (5),0.478 (6),0.526 (6),0.534 (6),0.553 (5),0.143 (5),0.204 (5),0.389 (5),
1021784,nagari0,0.229 (6),0.582 (5),0.565 (5),0.595 (5),0.534 (6),0.000 (7),0.000 (8),0.358 (6),
1066178,rafalposwiata,0.185 (7),0.288 (7),0.388 (7),0.331 (7),0.305 (7),0.013 (6),0.109 (6),0.231 (7),
978666,AK,0.135 (8),0.281 (8),0.345 (8),0.323 (8),0.264 (8),0.000 (7),0.081 (7),0.204 (8),
971787,hussam,0.000 (9),0.000 (9),0.000 (9),0.000 (9),0.000 (9),0.000 (7),0.000 (8),0.000 (9),
submission_pk,User,EN-ES,EN-CA,EN-EU,Average score
1054719,Cong666,0.538 (1),0.502 (1),0.370 (1),0.470 (1),
1064315,Fadi,0.472 (2),0.353 (2),0.241 (2),0.355 (2),
1067098,luxinyu,0.000 (3),0.000 (3),0.000 (3),0.000 (3),
1066178,rafalposwiata,0.000 (3),0.000 (3),0.000 (3),0.000 (3),
1065129,zhixiaobao,0.000 (3),0.000 (3),0.000 (3),0.000 (3),
1061558,ljzsky,0.000 (3),0.000 (3),0.000 (3),0.000 (3),
1021784,nagari0,0.000 (3),0.000 (3),0.000 (3),0.000 (3),
978666,AK,0.000 (3),0.000 (3),0.000 (3),0.000 (3),
971787,hussam,0.000 (3),0.000 (3),0.000 (3),0.000 (3),
