submission_pk,User,AP@0.50,AP@0.25,AP@0.75
543301,wrona,0.816612 (1),0.843304 (1),0.546615 (1),
543438,VIP,0.750923 (2),0.825978 (2),0.399214 (4),
543039,Mingbo_Hong,0.717862 (3),0.794591 (3),0.401685 (3),
542989,Kaulquappe,0.668469 (4),0.725774 (5),0.441011 (2),
540110,IPHD_baselines,0.657315 (5),0.782599 (4),0.234438 (5),
