submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
836977,liuzhen,39.9841 (1),37.3659 (1),1.0000 (10),0.0 (2),0.0 (2),
830741,AnointedKnight,39.9388 (2),36.9883 (4),1.0000 (10),1.0 (3),0.0 (2),
827730,DenoiserMan,39.6413 (3),36.6266 (14),10.4300 (20),1.0 (3),0.0 (2),
836616,forever24,39.3398 (4),37.2068 (2),1.0000 (10),0.0 (2),0.0 (2),
830597,chengshen,39.3263 (5),36.9717 (5),1.0000 (10),0.0 (2),0.0 (2),
1114692,yeeah,39.1627 (6),36.8220 (8),0.0000 (2),0.0 (2),0.0 (2),
836868,evelynchee,39.1311 (7),36.7962 (9),1.0000 (10),0.0 (2),0.0 (2),
1114144,LoveLetter,39.0271 (8),36.8565 (6),-1.0000 (1),-1.0 (1),-1.0 (1),
836612,DylanPeter,39.0045 (9),36.7085 (10),1.0000 (10),0.0 (2),0.0 (2),
1116452,songguitar,38.9021 (10),36.8378 (7),0.0000 (2),0.0 (2),0.0 (2),
828228,Panxiaokai,38.7365 (11),36.4631 (16),2.0000 (15),0.0 (2),0.0 (2),
837141,NygmaLin,38.6737 (12),36.7068 (11),1.0000 (10),0.0 (2),0.0 (2),
836698,cqxjl,38.6298 (13),36.6646 (13),1.0000 (10),0.0 (2),0.0 (2),
819852,DYng,38.6256 (14),36.6711 (12),1.6000 (14),0.0 (2),0.0 (2),
1113210,buzzli,38.5756 (15),36.6233 (15),0.0554 (4),-1.0 (1),-1.0 (1),
1119914,Xy_Chen,38.5402 (16),37.0220 (3),1.2000 (12),0.0 (2),0.0 (2),
825394,TrueKobeFans,38.5223 (17),36.0891 (20),0.5000 (7),0.0 (2),0.0 (2),
820974,susmit600,38.2096 (18),36.3743 (18),1.1530 (11),0.0 (2),0.0 (2),
832110,clutch,38.1164 (19),36.4252 (17),1.5000 (13),0.0 (2),0.0 (2),
1144234,Bbida98,37.9265 (20),36.3214 (19),-1.0000 (1),-1.0 (1),-1.0 (1),
1137520,shushushucier,37.8099 (21),35.8671 (22),0.9600 (9),0.0 (2),0.0 (2),
833114,noahtcv,37.6168 (22),35.8601 (23),8.8100 (19),0.0 (2),0.0 (2),
1115225,richlaji,37.5926 (23),35.8417 (24),0.0915 (5),-1.0 (1),-1.0 (1),
837606,ZJU231,37.0464 (24),35.7778 (25),1.0000 (10),0.0 (2),0.0 (2),
805374,q19911124,36.3699 (25),35.6634 (26),0.5500 (8),0.0 (2),0.0 (2),
1056148,Bbida,35.5883 (26),35.8673 (21),1.0000 (10),0.0 (2),0.0 (2),
831936,Liziyuan,35.3511 (27),32.2598 (31),0.2500 (6),0.0 (2),0.0 (2),
835610,Three11,35.2294 (28),29.9516 (33),0.2500 (6),0.0 (2),0.0 (2),
835418,gaoyan1234,35.1525 (29),33.9275 (29),4.3000 (17),0.0 (2),0.0 (2),
824541,sylver,34.6101 (30),34.1268 (28),3.0000 (16),0.0 (2),0.0 (2),
837299,chenguannan1981,32.8433 (31),34.2937 (27),5.0000 (18),0.0 (2),0.0 (2),
835675,Emolly,32.4995 (32),33.6679 (30),0.0200 (3),0.0 (2),0.0 (2),
836083,akhilkashok,31.0374 (33),27.8119 (35),-1.0000 (1),-1.0 (1),-1.0 (1),
818825,sharif_apu,29.8322 (34),31.0909 (32),-1.0000 (1),-1.0 (1),-1.0 (1),
810428,CVRG,29.4651 (35),27.6733 (36),-1.0000 (1),-1.0 (1),-1.0 (1),
819939,DeepBlueAI,27.7543 (36),28.6925 (34),10.4300 (20),1.0 (3),1.0 (3),
