submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
828000,Pranjal_Gupta,- (-),,,
1084040,fucaja,- (-),,,
821482,Varad,- (-),,,
823027,tongzhou21,- (-),,,
825175,uyaseen,- (-),,,
820347,Andoree,- (-),,,
820746,afaji321,- (-),,,
submission_pk,User,F1,P,R
1084040,fucaja,0.73 (1),0.5820 (2),0.9750 (1),
820347,Andoree,0.61 (2),0.5520 (4),0.6810 (2),
828000,Pranjal_Gupta,0.49 (3),0.5380 (5),0.4510 (3),
823027,tongzhou21,0.49 (4),0.5920 (1),0.4170 (4),
820746,afaji321,0.42 (5),0.5590 (3),0.3300 (6),
821482,Varad,0.40 (6),0.4050 (7),0.4010 (5),
825175,uyaseen,0.38 (7),0.5260 (6),0.3000 (7),
