submission_pk,User,F-Score,Accuracy
783946,DeepBlueAI,0.9676 (1),0.9600 (1),
786124,dalya,0.9675 (2),0.9600 (1),
786706,ThisIstheEnd,0.9655 (3),0.9570 (2),
820530,zaak,0.9647 (4),0.9560 (3),
784012,fdabek,0.9647 (4),0.9560 (3),
783965,mmmm,0.9640 (5),0.9550 (4),
783846,razormest,0.9633 (6),0.9540 (5),
862070,CHAOYUDENG,0.9627 (7),0.9540 (5),
784211,abdelkader,0.9606 (8),0.9510 (6),
976044,apostaremczak,0.9603 (9),0.9510 (6),
809379,stevenhuahua,0.9589 (10),0.9490 (7),
783878,tathagataraha,0.9586 (11),0.9490 (7),
786226,razvan.smadu,0.9582 (12),0.9490 (7),
825660,Sakrah,0.9574 (13),0.9470 (8),
809386,mengyuan_jiayi,0.9569 (14),0.9470 (8),
802290,emran,0.9564 (15),0.9460 (9),
784337,zeus_yao,0.9557 (16),0.9450 (10),
783860,Amherst685,0.9551 (17),0.9440 (11),
810164,ryanachi,0.9548 (18),0.9430 (12),
807934,Aish,0.9530 (19),0.9420 (13),
784365,somethingx95,0.9523 (20),0.9410 (14),
783842,reynier,0.9509 (21),0.9380 (16),
810190,Grenzlinie,0.9505 (22),0.9390 (15),
784429,calamitylink,0.9498 (23),0.9380 (16),
784083,mayukh,0.9468 (24),0.9330 (17),
793680,tmarchitan,0.9434 (25),0.9290 (18),
858982,TLIU,0.9421 (26),0.9280 (19),
784242,MihaiSamson,0.9374 (27),0.9220 (20),
960656,csecudsg,0.9367 (28),0.9220 (20),
808695,Zehao_Liu,0.9366 (29),0.9210 (21),
784340,zhaoyingjia123,0.9348 (30),0.9210 (21),
803287,Maoqin,0.9341 (31),0.9190 (22),
784299,JAGD,0.9325 (32),0.9160 (23),
844671,jam,0.9283 (33),0.9110 (24),
784106,Anik,0.9233 (34),0.9030 (25),
784371,GuanZhengyi,0.9205 (35),0.8960 (28),
784080,Han_Jiawei,0.9198 (36),0.9010 (26),
784224,chilai1996,0.9177 (37),0.8970 (27),
1129311,Pooja01,0.9095 (38),0.8890 (29),
804587,PattonX,0.8700 (39),0.8360 (30),
786643,CHaines,0.8504 (40),0.8170 (31),
874286,ltjuatja,- (41),- (32),
846310,AvikPal141099,- (41),- (32),
846102,bholeshwar,- (41),- (32),
784188,alexkara23,- (41),- (32),
submission_pk,User,RMSE
783965,mmmm,0.5003 (1),
784083,mayukh,0.5257 (2),
784012,fdabek,0.5271 (3),
858982,TLIU,0.5324 (4),
783860,Amherst685,0.5339 (5),
783878,tathagataraha,0.5441 (6),
786124,dalya,0.5446 (7),
846102,bholeshwar,0.5481 (8),
784429,calamitylink,0.5510 (9),
784211,abdelkader,0.5519 (10),
807934,Aish,0.5541 (11),
783846,razormest,0.5555 (12),
784080,Han_Jiawei,0.5577 (13),
810164,ryanachi,0.5580 (14),
784242,MihaiSamson,0.5598 (15),
783946,DeepBlueAI,0.5607 (16),
976044,apostaremczak,0.5612 (17),
802290,emran,0.5709 (18),
786643,CHaines,0.5762 (19),
784106,Anik,0.5764 (20),
874286,ltjuatja,0.5796 (21),
825660,Sakrah,0.5802 (22),
783842,reynier,0.5905 (23),
784365,somethingx95,0.5916 (24),
810190,Grenzlinie,0.6143 (25),
786226,razvan.smadu,0.6164 (26),
862070,CHAOYUDENG,0.6354 (27),
786706,ThisIstheEnd,0.6539 (28),
784371,GuanZhengyi,0.7010 (29),
784340,zhaoyingjia123,0.7214 (30),
803287,Maoqin,0.7405 (31),
844671,jam,0.8005 (32),
784299,JAGD,0.8847 (33),
784224,chilai1996,2.1883 (34),
1129311,Pooja01,- (35),
960656,csecudsg,- (35),
846310,AvikPal141099,- (35),
820530,zaak,- (35),
809386,mengyuan_jiayi,- (35),
809379,stevenhuahua,- (35),
808695,Zehao_Liu,- (35),
804587,PattonX,- (35),
793680,tmarchitan,- (35),
784188,alexkara23,- (35),
784337,zeus_yao,- (35),
submission_pk,User,F-Score,Accuracy
862070,CHAOYUDENG,0.6299 (1),0.5089 (13),
786124,dalya,0.6270 (2),0.4699 (21),
786706,ThisIstheEnd,0.6249 (3),0.4553 (25),
783965,mmmm,0.6247 (4),0.4569 (24),
858982,TLIU,0.6242 (5),0.4537 (26),
784211,abdelkader,0.6242 (5),0.4537 (26),
784012,fdabek,0.6233 (6),0.4537 (26),
844671,jam,0.6233 (7),0.4732 (20),
1129311,Pooja01,0.6225 (8),0.4992 (17),
784083,mayukh,0.6210 (9),0.4780 (18),
783946,DeepBlueAI,0.6203 (10),0.4585 (23),
784429,calamitylink,0.6111 (11),0.4764 (19),
784188,alexkara23,0.5990 (12),0.4732 (20),
783842,reynier,0.5770 (13),0.4732 (20),
784299,JAGD,0.5722 (14),0.4650 (22),
784106,Anik,0.5628 (15),0.5301 (10),
810190,Grenzlinie,0.5610 (16),0.5317 (9),
803287,Maoqin,0.5488 (17),0.5561 (2),
783878,tathagataraha,0.5463 (18),0.5057 (14),
807934,Aish,0.5389 (19),0.5187 (12),
825660,Sakrah,0.4946 (20),0.5415 (8),
802290,emran,0.4888 (21),0.5545 (3),
810164,ryanachi,0.4883 (22),0.5024 (15),
976044,apostaremczak,0.4846 (23),0.5089 (13),
783860,Amherst685,0.4842 (24),0.5220 (11),
783846,razormest,0.4813 (25),0.5480 (5),
784242,MihaiSamson,0.4752 (26),0.5008 (16),
786643,CHaines,0.4750 (27),0.5220 (11),
809379,stevenhuahua,0.4728 (28),0.5431 (7),
784365,somethingx95,0.4706 (29),0.5463 (6),
784080,Han_Jiawei,0.4609 (30),0.5512 (4),
784340,zhaoyingjia123,0.4603 (31),0.4407 (27),
784371,GuanZhengyi,0.4271 (32),0.5593 (1),
786226,razvan.smadu,0.0000 (33),0.5463 (6),
784224,chilai1996,0.0000 (33),0.5463 (6),
960656,csecudsg,- (34),- (28),
874286,ltjuatja,- (34),- (28),
846310,AvikPal141099,- (34),- (28),
846102,bholeshwar,- (34),- (28),
820530,zaak,- (34),- (28),
809386,mengyuan_jiayi,- (34),- (28),
808695,Zehao_Liu,- (34),- (28),
804587,PattonX,- (34),- (28),
793680,tmarchitan,- (34),- (28),
784337,zeus_yao,- (34),- (28),
submission_pk,User,RMSE
783946,DeepBlueAI,0.4120 (1),
783965,mmmm,0.4197 (2),
784012,fdabek,0.4406 (3),
809379,stevenhuahua,0.4454 (4),
802290,emran,0.4467 (5),
786124,dalya,0.4469 (6),
783842,reynier,0.4532 (7),
784429,calamitylink,0.4546 (8),
783860,Amherst685,0.4564 (9),
858982,TLIU,0.4678 (10),
825660,Sakrah,0.4690 (11),
786706,ThisIstheEnd,0.4691 (12),
846310,AvikPal141099,0.4716 (13),
784337,zeus_yao,0.4753 (14),
784242,MihaiSamson,0.4788 (15),
783846,razormest,0.4822 (16),
784365,somethingx95,0.4941 (17),
862070,CHAOYUDENG,0.4950 (18),
810190,Grenzlinie,0.4957 (19),
807934,Aish,0.4961 (20),
784083,mayukh,0.5067 (21),
