submission_pk,User,ACCURACY
898367,MERLOT,81.730 (1),
421043,yj,78.150 (2),
421475,danieljf24,75.170 (3),
417468,antoine77340,74.280 (4),
327111,wookayin,65.700 (5),
405336,maksimbolonkin,65.090 (6),
322791,ElTanque,63.710 (7),
277541,atousa,58.110 (8),
325241,frcnnBigger,39.690 (9),
327131,arnavkj95,20.120 (10),
326491,fodrh1201,19.610 (11),
