submission_pk,User,EMD
385020,mcliche,0.24500 (1),
385058,balikasg,0.26900 (2),
385284,quanzhi,0.27300 (3),
384622,lhurtado,0.30600 (4),
385151,karpnv,0.31700 (5),
385073,danielfl,0.34500 (6),
385074,ramybaly,0.35000 (7),
384390,sasa,0.36500 (8),
385072,THU_HCSI_IDU,0.38500 (9),
384949,Epix,0.44700 (10),
385116,cbaziotis,0.59500 (11),
385289,seirasto,1.12300 (12),
385040,wwmmqq,1.46100 (13),
