submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
940574,IST-Unbabel,2.00 (2),0.2752 (1),0.2785 (2),0.2241 (1),2294887576.0 (3),569368609.0 (3),
940065,HW-TSC,1.80 (1),0.2620 (2),0.2778 (1),0.2282 (2),2243954093.0 (2),560944640.0 (2),
940565,fblain,2.20 (3),0.0983 (3),0.2792 (3),0.2323 (3),1142441796.0 (1),281297685.0 (1),
