submission_pk,User,score,Duration
744184,Meta_Learners,0.6554 (1),5663.86 (1),
727172,ctom,0.5394 (2),4990.18 (2),
745267,comp321hgrg1,0.4233 (3),2710.85 (3),
745294,Edinburgh,0.4065 (4),2488.64 (4),
742111,neptuneai,0.3592 (5),914.97 (5),
713834,brunoseznec,0.3584 (6),895.94 (7),
720992,batnik96,0.3563 (7),900.96 (6),
713374,finlouarn,0.3541 (8),50.06 (11),
721235,itouchz.me,0.3504 (9),40.04 (12),
718601,donulysses,0.3497 (10),63.07 (9),
725721,jgucci,0.2969 (11),104.11 (8),
707537,pavao,0.2033 (12),53.06 (10),
744449,yoda.yosh,0.2000 (13),13.02 (13),
