submission_pk,User,Score (C/D),ExecutionTime
827430,DFGC_SYSU,2.7778 (1),57.00 (2),
823310,Iverson,1.5510 (2),57.00 (2),
825806,organizer_baseline,1.5510 (2),57.00 (2),
825805,hlb01,1.5479 (3),52.00 (1),
