submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
939436,joanne.wjy,3.60 (1),0.5816 (1),0.7462 (1),0.5986 (4),2244030744.0 (6),560981507.0 (6),
940514,IST-Unbabel,5.20 (4),0.5766 (2),0.7505 (5),0.5830 (1),4872322439.0 (9),1214683792.0 (9),
940207,HW-TSC,4.20 (2),0.5729 (3),0.7472 (3),0.6020 (5),2243941083.0 (5),560941057.0 (5),
935451,hantae.kim,5.20 (4),0.5722 (4),0.7480 (4),0.5849 (2),2503797760.0 (8),611278859.0 (8),
932998,Inmon,6.20 (6),0.5465 (5),0.8092 (8),0.6241 (8),2243941083.0 (5),560941057.0 (5),
952312,kw,4.60 (3),0.5456 (6),0.7472 (2),0.5917 (3),2244030744.0 (6),560981507.0 (6),
933823,gregor_geigle,6.80 (8),0.5453 (7),0.8083 (7),0.6194 (6),2382759964.0 (7),595689991.0 (7),
937112,shaun.lim,5.80 (5),0.4969 (8),0.7653 (6),0.6209 (7),1249902592.0 (4),297974795.0 (4),
940549,fblain,6.60 (7),0.3518 (9),0.8445 (9),0.6860 (9),1142413043.0 (3),281291535.0 (3),
939225,LisaIan,6.80 (8),0.2995 (10),1.4197 (11),1.1663 (11),111300550.0 (1),27815809.0 (1),
939485,shakedme,7.00 (9),0.1950 (11),1.1994 (10),0.9666 (10),626401280.0 (2),156589824.0 (2),
