submission_pk,User,Loss
967365,TeamQ,13.527 (1),
964787,ForeverControl,15.104 (2),
962364,res123,20.356 (3),
967444,Ajoo,25.898 (4),
970788,zzzz1852,27.569 (5),
969035,KunWu,28.081 (6),
969435,ewqds,28.569 (7),
969204,zhaoyinuo,32.037 (8),
962968,zaansari,47.374 (9),
970272,huangsiy,48.778 (10),
963783,bkleiner,49.553 (11),
957512,jiekie,52.585 (12),
953281,hansolo,53.340 (13),
964935,jmunozb,54.000 (14),
963996,eslopezag,56.926 (15),
957529,syeehyn06,66.670 (16),
964686,Ruebin,67.077 (17),
958178,GodofWar,67.079 (18),
970883,alse426,67.164 (19),
957700,pmjindal,67.164 (19),
952100,___starter-kit-baseline___,67.164 (19),
960503,gemst1,68.754 (20),
966480,TheBaxes,69.029 (21),
970296,leo.li,74.821 (22),
962466,Sambhaw,81.274 (23),
968329,ferova,81.767 (24),
964943,cmpatino,82.072 (25),
968075,KC988,86.152 (26),
958390,xingzhesun,93.261 (27),
959767,Ag2S,100.000 (28),
952101,___zero-baseline___,100.000 (28),
