submission_pk,User,Accuracy
868240,maxs_kan,88.8600 (1),
866923,NEEEK,88.5000 (2),
873070,ag3r,88.4560 (3),
867565,player42,87.7720 (4),
867608,andreead,87.5080 (5),
867462,timotei.ardelean,87.2520 (6),
862451,palette_knife25,86.8840 (7),
867730,kmisterios,86.8240 (8),
867538,Artem_Vazhentsev,86.6720 (9),
867638,dkorzh10,85.9840 (10),
867662,gabriel_r,85.3240 (11),
867226,Glebzok,85.2720 (12),
868924,ekovtun,85.0000 (13),
868286,Daniil_Moskovskiy,82.7840 (14),
896243,matveymor,82.2800 (15),
868994,annakey,82.2800 (15),
865133,underdog,79.2240 (16),
862247,gusenica,75.5000 (17),
893218,A_a,73.5840 (18),
895425,eplumite,56.6040 (19),
869036,truepg,50.3280 (20),
850287,lilaspourpre,50.2600 (21),
