submission_pk,User,score
526720,kodenii,0.83377 (1),
528150,mhlwsk,0.83169 (2),
528516,BigTomato,0.81475 (3),
527738,fets,0.81287 (4),
528070,shijiyuanaa,0.81121 (5),
526899,RaymondLee,0.81043 (6),
527536,PINKG,0.80566 (7),
528280,YSChengzi,0.80449 (8),
527650,rmhsiao,0.78440 (9),
527693,fannaidan,0.78213 (10),
528229,SOTA,0.78009 (11),
526296,clearlove7,0.77874 (12),
528127,calcium,0.77069 (13),
528282,xuhongqing,0.75455 (14),
527882,hit_1172510217,0.74989 (15),
527751,silverbullet111,0.74211 (16),
527988,chenzhongan,0.69206 (17),
527598,SunYunLong,0.65357 (18),
