submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
830699,TouchFish,31.1805 (1),0.8728 (1),0.5000 (13),0.0 (2),0.0 (2),
837317,splinter23,30.9006 (2),0.8644 (2),-1.0000 (1),-1.0 (3),-1.0 (3),
835228,lixin41,30.7552 (3),0.8643 (3),0.4000 (12),0.0 (2),0.0 (2),
828348,D.D.D.,30.6637 (4),0.8597 (8),-1.0000 (1),-1.0 (3),-1.0 (3),
837186,HatsuneMiku,30.6452 (5),0.8614 (4),-1.0000 (1),-1.0 (3),-1.0 (3),
831768,lumingzzz,30.5918 (6),0.8606 (6),0.4000 (12),0.0 (2),0.0 (2),
833374,Gogoing,30.5807 (7),0.8604 (7),4.4200 (23),0.0 (2),0.0 (2),
837093,noahtcv,30.5727 (8),0.8611 (5),0.9400 (17),0.0 (2),0.0 (2),
827214,xps,30.4986 (9),0.8592 (10),4.4200 (23),0.0 (2),0.0 (2),
835767,Devonn,30.4045 (10),0.8577 (11),0.0600 (7),0.0 (2),0.0 (2),
835778,jiayyang,30.4034 (11),0.8577 (12),1.5000 (20),0.0 (2),1.0 (1),
834972,clever_wyc,30.3762 (12),0.8572 (15),-1.0000 (1),0.0 (2),0.0 (2),
835643,IEEE-Yellow,30.3529 (13),0.8572 (14),1.0000 (18),0.0 (2),0.0 (2),
827540,zheng222,30.3439 (14),0.8595 (9),1.0000 (18),0.0 (2),0.0 (2),
828533,Dewh,30.3339 (15),0.8566 (17),0.0600 (7),0.0 (2),0.0 (2),
827723,tea_deliver,30.3326 (16),0.8562 (18),1.5332 (21),0.0 (2),0.0 (2),
836880,anymyb,30.3250 (17),0.8573 (13),0.7000 (14),0.0 (2),0.0 (2),
811784,q19911124,30.2800 (18),0.8555 (20),1.0000 (18),1.0 (1),1.0 (1),
827469,TerVis,30.2720 (19),0.8569 (16),0.5000 (13),0.0 (2),0.0 (2),
822189,littlewhitesea,30.2263 (20),0.8559 (19),0.7600 (16),0.0 (2),0.0 (2),
802057,zhaominyiz,30.1933 (21),0.8534 (22),-1.0000 (1),-1.0 (3),-1.0 (3),
787391,vipsl,30.1507 (22),0.8539 (21),1.0600 (19),0.0 (2),0.0 (2),
821078,am1969,30.0941 (23),0.8512 (24),0.7480 (15),0.0 (2),0.0 (2),
833936,chaowentao,30.0648 (24),0.8529 (23),1.0000 (18),1.0 (1),0.0 (2),
823607,ywzbuaa,30.0424 (25),0.8500 (28),0.3600 (11),0.0 (2),0.0 (2),
805124,zyxiao,29.9618 (26),0.8504 (25),-1.0000 (1),-1.0 (3),-1.0 (3),
824613,image_restore,29.9530 (27),0.8504 (26),10.4300 (24),1.0 (1),1.0 (1),
817578,strangeloop,29.8976 (28),0.8472 (33),-1.0000 (1),0.0 (2),0.0 (2),
826113,blackAI,29.8891 (29),0.8501 (27),1.0000 (18),0.0 (2),1.0 (1),
768789,DYng,29.8559 (30),0.8496 (29),0.0700 (8),0.0 (2),0.0 (2),
821060,libc,29.8350 (31),0.8468 (34),-1.0000 (1),-1.0 (3),-1.0 (3),
793700,yangcao,29.8321 (32),0.8485 (31),-1.0000 (1),-1.0 (3),-1.0 (3),
826207,tractatus,29.8218 (33),0.8483 (32),-1.0000 (1),-1.0 (3),-1.0 (3),
813883,ostyakov,29.8085 (34),0.8418 (39),-1.0000 (1),-1.0 (3),0.0 (2),
809899,yeapyes,29.7993 (35),0.8488 (30),1.0000 (18),0.0 (2),0.0 (2),
811081,DR_2019,29.7721 (36),0.8465 (35),1.0000 (18),0.0 (2),0.0 (2),
810179,YUNX,29.7460 (37),0.8461 (37),-1.0000 (1),-1.0 (3),-1.0 (3),
836656,liuw02,29.7315 (38),0.8463 (36),0.0069 (3),0.0 (2),0.0 (2),
836627,Leo97,29.7315 (38),0.8463 (36),0.0078 (4),0.0 (2),0.0 (2),
825732,QingDing,29.6022 (39),0.8427 (38),0.1960 (10),0.0 (2),1.0 (1),
804989,mouch,29.3360 (40),0.8340 (42),1.0000 (18),1.0 (1),1.0 (1),
787404,xiaoyihe,29.2703 (41),0.8335 (43),0.0300 (5),0.0 (2),1.0 (1),
801766,RenYang,29.0981 (42),0.8267 (44),0.0000 (2),0.0 (2),0.0 (2),
776319,yubinnzeng,29.0981 (42),0.8267 (44),0.1000 (9),1.0 (1),0.0 (2),
823874,fnasiri,29.0126 (43),0.8386 (41),1.0000 (18),1.0 (1),1.0 (1),
793703,fqhank,27.8807 (44),0.8392 (40),0.3600 (11),0.0 (2),0.0 (2),
813449,haojia,27.3173 (45),0.7736 (46),1.0000 (18),0.0 (2),0.0 (2),
820051,fvasluianu,27.1168 (46),0.7994 (45),0.0460 (6),1.0 (1),1.0 (1),
805861,import2021,22.1001 (47),0.6662 (47),3.0000 (22),1.0 (1),1.0 (1),
