submission_pk,User,Accuracy,F-score,MRR,MAP
187561,andrew.finch,0.3165 (1),0.6643 (1),0.4130 (1),0.3086 (1),
184171,yanshao9798,0.2808 (2),0.6434 (2),0.3007 (3),0.2812 (2),
184061,amirhj,0.2659 (3),0.6227 (3),0.3185 (2),0.2549 (3),
188131,hcs,0.1062 (4),0.5160 (4),0.1062 (4),0.1014 (4),
