submission_pk,User,Micro Precision,Micro Recall,Micro F1-Score,Macro Precision,Macro Recall,Macro F1-Score
469207,prabod,0.675 (1),0.675 (1),0.675 (1),0.674 (1),0.673 (1),0.673 (1),
468332,alexandra.chronopoulou,0.674 (2),0.674 (2),0.674 (2),0.673 (2),0.671 (2),0.672 (2),
468980,Tuhin,0.668 (3),0.668 (3),0.668 (3),0.673 (3),0.667 (3),0.668 (3),
469104,ChuhanWu,0.663 (4),0.663 (4),0.663 (4),0.666 (4),0.661 (4),0.662 (4),
469220,Yasas,0.652 (5),0.652 (5),0.652 (5),0.663 (5),0.650 (5),0.653 (5),
467723,IEST2018,0.603 (6),0.603 (6),0.603 (6),0.601 (6),0.601 (6),0.601 (6),
467707,romanklinger,0.603 (6),0.603 (6),0.603 (6),0.601 (6),0.601 (6),0.601 (6),
467805,johnnytorres83,0.163 (7),0.163 (7),0.163 (7),0.163 (7),0.163 (7),0.163 (7),
