submission_pk,User,macro F1,sentence,list,table,figure,header,footer,item,item,item2,item3,item4
809828,kaka0711,0.427 (1),0.838 (1),0.009 (1),0.462 (2),0.573 (1),0.120 (2),0.510 (2),0.570 (1),0.550 (1),0.035 (1),0.000 (1),NaN (1),
811387,taka,0.385 (2),0.646 (2),0.000 (2),0.739 (1),0.340 (2),0.719 (1),0.818 (1),0.248 (2),0.243 (2),0.012 (2),0.000 (1),NaN (1),
810352,Rihab,0.076 (3),0.506 (4),0.000 (2),0.000 (3),0.000 (3),0.000 (3),0.082 (3),0.000 (3),0.000 (3),0.000 (3),0.000 (1),NaN (1),
804008,dmtyan97,0.067 (4),0.515 (3),0.000 (2),0.000 (3),0.000 (3),0.000 (3),0.000 (4),0.000 (3),0.000 (3),0.000 (3),0.000 (1),NaN (1),
802106,finsbd3_baseline,0.067 (4),0.515 (3),0.000 (2),0.000 (3),0.000 (3),0.000 (3),0.000 (4),0.000 (3),0.000 (3),0.000 (3),0.000 (1),NaN (1),
