submission_pk,User,Score,Computation time
727008,rl_agnet,34.74 (1),686.65 (32),
725373,lujixiang,33.38 (2),660.96 (30),
726738,djmax008,30.82 (3),388.64 (24),
726573,KunjieTang,30.61 (4),580.14 (26),
725608,taka,13.08 (5),391.91 (25),
726808,TonyS,12.45 (6),283.67 (22),
726706,UN_aiGridOperator,11.31 (7),640.08 (28),
726771,mwasserer,10.06 (8),641.26 (29),
726817,Anonymous01,7.88 (9),668.35 (31),
726539,PowerRangers,7.51 (10),751.34 (34),
726730,tIEEmCES,7.48 (11),355.22 (23),
725896,yzm_test,6.99 (12),746.80 (33),
726701,var764,6.93 (13),155.34 (18),
692959,amarot,6.66 (14),12410.69 (35),
710258,LifeX,5.16 (15),138.25 (17),
726776,kishanpb1,5.14 (16),157.71 (19),
714460,student,5.10 (17),132.44 (16),
726077,tolovskifilip,0.14 (18),629.78 (27),
725988,LanHoang,0.00 (19),1.20 (14),
715942,amitj,0.00 (19),0.90 (8),
712801,Nastasya,0.00 (19),0.89 (7),
712802,gganastasiya,0.00 (19),0.91 (11),
712800,juliamekys,0.00 (19),0.88 (6),
712304,annetalllll,0.00 (19),0.97 (13),
689742,sslim,0.00 (19),0.85 (4),
685412,BDonnot,0.00 (19),0.86 (5),
683647,shubham9455,0.00 (19),0.91 (10),
681522,Antpishi,0.00 (19),0.94 (12),
678287,EfimovIN,0.00 (19),0.91 (9),
674596,leixucser,0.00 (19),0.00 (1),
726046,alexto,-13.04 (20),250.57 (21),
688030,hlhsu,-31.60 (21),166.42 (20),
678207,ruyueshuo,-36.70 (22),15.35 (15),
691288,lewington,-45.75 (23),0.01 (2),
686443,WastedTimes,-45.75 (23),0.01 (3),
