submission_pk,User,EER
974157,Anonymous,14.30 (1),
935234,Anonymous,16.36 (2),
954024,Anonymous,17.05 (3),
949514,Anonymous,18.39 (4),
974089,Anonymous,18.99 (5),
934537,Anonymous,20.38 (6),
960455,Anonymous,20.40 (7),
948983,Anonymous,20.63 (8),
960671,Anonymous,20.71 (9),
973897,Anonymous,21.34 (10),
974311,Anonymous,21.69 (11),
971216,Anonymous,21.81 (12),
938052,Anonymous,23.79 (13),
938079,Anonymous,24.65 (14),
973147,Anonymous,24.87 (15),
962352,Anonymous,25.86 (16),
953212,Anonymous,25.98 (17),
937173,Anonymous,26.67 (18),
940395,Anonymous,29.87 (19),
953881,Anonymous,49.27 (20),
