submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939105,HW-TSC,1.80 (1),0.4507 (1),0.5528 (1),0.8918 (2),2243954093.0 (2),560944640.0 (3),
940629,IST-Unbabel,2.60 (2),0.3320 (2),0.4304 (3),0.8963 (1),2294887576.0 (3),569368609.0 (4),
939607,sding,3.00 (3),0.3027 (3),0.4392 (2),0.8474 (4),6863178235.0 (4),484431872.0 (2),
940582,fblain,2.60 (2),0.2563 (4),0.3595 (4),0.8885 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939105,HW-TSC,2.20 (1),0.3877 (1),0.3934 (1),0.9619 (4),2243954093.0 (2),560944640.0 (3),
939607,sding,2.60 (2),0.1669 (2),0.1592 (3),0.9780 (2),6863178235.0 (4),484431872.0 (2),
940629,IST-Unbabel,3.00 (3),0.1645 (3),0.1597 (2),0.9777 (3),2294887576.0 (3),569368609.0 (4),
940582,fblain,2.20 (1),0.0734 (4),0.0507 (4),0.9793 (1),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939105,HW-TSC,2.20 (1),0.4258 (1),0.5395 (1),0.8759 (3),2243954093.0 (3),560944640.0 (3),
940629,IST-Unbabel,2.60 (3),0.3506 (2),0.4382 (2),0.8990 (1),2294887576.0 (4),569368609.0 (4),
940582,fblain,2.40 (2),0.2505 (3),0.3264 (3),0.8931 (2),1142441796.0 (2),281297685.0 (2),
939607,sding,2.80 (4),0.0000 (4),0.0000 (4),0.0000 (4),0.0 (1),0.0 (1),
