submission_pk,User,score
1145384,lizhuoqun,0.8405 (1),
1119765,hansih,0.8277 (2),
954426,kiymetakd,0.7805 (3),
896094,farhana_liza,0.6445 (4),
888439,skent,0.5982 (5),
