submission_pk,User,ARI
739340,MironKuznetsov,0.3346 (1),
737822,eugeneavd,0.3215 (2),
739299,alexbelov,0.3177 (3),
736649,Artem_Vazhentsev,0.2677 (4),
737736,alexalexalex,0.2284 (5),
736637,palette_knife25,0.2201 (6),
737831,vanessa,0.2179 (7),
736744,dementyeva_ds,0.2133 (8),
737752,kmisterios,0.1497 (9),
737797,davypiraylenko,0.1424 (10),
737536,gabriel_r,0.1056 (11),
739367,alexeygb,0.0000 (12),
738699,NLPuser,-0.0012 (13),
