submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP large,AP medium,AP small,AR large,AR max=1,AR max=10,AR max=100,AR medium,AR small
671685,XingyiZhou,0.53 (1),0.72 (1),0.58 (1),0.64 (1),0.56 (1),0.36 (1),0.82 (1),0.40 (1),0.65 (1),0.69 (1),0.73 (1),0.53 (1),
670036,garyhku,0.40 (2),0.56 (2),0.43 (2),0.52 (2),0.42 (2),0.22 (2),0.77 (2),0.33 (2),0.56 (2),0.60 (2),0.65 (2),0.38 (2),
664593,cmichaelis,0.34 (3),0.53 (3),0.38 (3),0.42 (3),0.37 (3),0.19 (3),0.63 (3),0.29 (3),0.48 (3),0.50 (3),0.53 (3),0.30 (3),
