submission_pk,User,SARI
874875,komleva.1999,39.745632 (1),
836241,qbic,39.689777 (2),
888410,pavel1828,39.374682 (3),
1110039,orzhan,39.279082 (4),
836227,ashatilov,38.491037 (5),
836228,smpl,38.237915 (6),
842013,alenusch,37.820038 (7),
835682,OnSlaught,36.936716 (8),
836095,king_menin,36.683580 (9),
