submission_pk,User,Accuracy,F-score,MRR,MAP
187771,andrew.finch,0.7150 (1),0.9371 (1),0.7814 (1),0.7091 (1),
184081,amirhj,0.3480 (2),0.8349 (2),0.4745 (2),0.3434 (2),
182441,hcs,0.1090 (3),0.7292 (3),0.1090 (3),0.1061 (3),
