submission_pk,User,AP,AP50,AP75,APm,APl
477140,soeaver,0.64 (1),0.92 (1),0.75 (1),0.57 (1),0.67 (1),
476645,Min_Byeonguk,0.58 (2),0.89 (2),0.66 (3),0.50 (4),0.61 (2),
477422,ML_LAB,0.57 (3),0.89 (3),0.64 (4),0.51 (3),0.59 (4),
476469,yuchen.ma,0.57 (4),0.87 (5),0.66 (2),0.48 (5),0.61 (3),
472294,DensePose_R101_FPN_32x8d_s1x_e,0.56 (5),0.89 (4),0.64 (5),0.51 (2),0.59 (5),
472295,DensePose_R101_FPN_32x8d_s1x,0.52 (6),0.85 (7),0.56 (7),0.46 (6),0.55 (6),
472299,DensePose_R101_FPN_s1x-e2e,0.51 (7),0.86 (6),0.56 (6),0.45 (7),0.54 (7),
472300,DensePose_R101_FPN_s1x,0.50 (8),0.84 (8),0.54 (8),0.43 (8),0.54 (8),
472301,DensePose_R50_FPN_s1x-e2e,0.49 (9),0.84 (9),0.52 (9),0.42 (9),0.52 (9),
472302,DensePose_R50_FPN_s1x,0.48 (10),0.83 (10),0.50 (10),0.41 (10),0.51 (10),
