submission_pk,User,MAE,MAE 1,MAE 2,Data Type
519839,tmaie,0.1010 (1),0.0469 (1),0.0541 (1),1.0 (1),
520224,NicolasSompairac,0.1093 (2),0.0540 (3),0.0554 (2),2.0 (2),
520210,lubat,0.1110 (3),0.0511 (2),0.0599 (3),1.0 (1),
519751,pnazarov,0.1618 (4),0.0730 (4),0.0888 (4),2.0 (2),
519627,mscherer,0.2303 (5),0.1226 (7),0.1077 (5),2.0 (2),
519758,Jules_Verteego,0.2397 (6),0.0867 (5),0.1529 (6),1.0 (1),
520032,silvia_bahena,0.2864 (7),0.0952 (6),0.1912 (8),1.0 (1),
519732,markellazacharouli,0.3591 (8),0.1520 (8),0.2071 (9),1.0 (1),
519810,mariakondili,0.3645 (9),0.1746 (9),0.1899 (7),2.0 (2),
