submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
439661,yulunzhang,25.775 (1),0.7028 (2),2.920 (16),0.0 (2),0.0 (2),
443415,WebsterBei,25.729 (2),0.7011 (3),20.000 (3),0.0 (2),0.0 (2),
435312,yifita,25.714 (3),0.7005 (4),1.000 (23),0.0 (2),0.0 (2),
444540,zheng222,25.673 (4),0.6978 (8),6.176 (11),0.0 (2),0.0 (2),
443526,iim_lab,25.664 (5),0.6995 (5),10.000 (6),0.0 (2),0.0 (2),
444291,xjc_faceall,25.661 (6),0.6976 (9),5.070 (12),0.0 (2),0.0 (2),
442328,cr2018,25.639 (7),0.6983 (6),15.430 (4),0.0 (2),0.0 (2),
444274,LiuYijiao,25.635 (8),0.6980 (7),5.070 (12),0.0 (2),0.0 (2),
443102,BMIPL_UNIST,25.607 (9),0.6975 (10),2.160 (18),0.0 (2),0.0 (2),
445022,enoch,25.589 (10),0.6966 (12),3.500 (13),0.0 (2),0.0 (2),
442344,meix,25.583 (11),0.6969 (11),3.130 (15),0.0 (2),0.0 (2),
445470,mikigom,25.578 (12),0.6964 (13),36.000 (2),1.0 (1),0.0 (2),
441699,nmhkahn,25.533 (13),0.6950 (14),1.753 (19),0.0 (2),0.0 (2),
445634,Mrobot0,25.525 (14),0.6929 (15),10.000 (6),0.0 (2),0.0 (2),
443696,JY,25.492 (15),0.6926 (16),0.791 (25),0.0 (2),0.0 (2),
444282,weideng,25.325 (16),0.6875 (17),0.300 (31),0.0 (2),1.0 (1),
439167,jingliting,25.303 (17),0.7034 (1),9.941 (7),0.0 (2),1.0 (1),
445584,lpj008,25.274 (18),0.6857 (18),0.670 (26),0.0 (2),0.0 (2),
436652,kincon,25.273 (19),0.6843 (19),2.310 (17),0.0 (2),0.0 (2),
445010,heyday097,25.242 (20),0.6789 (20),0.500 (29),0.0 (2),1.0 (1),
445044,VIC_SK,25.049 (21),0.6751 (23),1.380 (21),0.0 (2),1.0 (1),
441659,ccook,25.022 (22),0.6768 (21),1.000 (23),0.0 (2),0.0 (2),
445605,zeweihe,24.990 (23),0.6758 (22),9.620 (8),0.0 (2),0.0 (2),
442623,VIPlab,24.970 (24),0.6748 (24),0.591 (27),0.0 (2),0.0 (2),
441278,fyxx,24.903 (25),0.6726 (25),0.504 (28),0.0 (2),0.0 (2),
442265,opteroncx,24.852 (26),0.6701 (27),0.015 (32),0.0 (2),0.0 (2),
438333,MKFMIKU,24.736 (27),0.6663 (28),0.460 (30),0.0 (2),0.0 (2),
445527,hirotomusiker,24.405 (28),0.6506 (30),9.000 (9),0.0 (2),0.0 (2),
444360,zeljko_sr,24.280 (29),0.6483 (31),350.000 (1),1.0 (1),0.0 (2),
441536,blackAI,23.939 (30),0.6342 (33),1.050 (22),0.0 (2),0.0 (2),
441975,owenqyzhang,23.702 (31),0.6597 (29),7.790 (10),0.0 (2),0.0 (2),
440197,boe_sbg,23.691 (32),0.6292 (34),3.310 (14),0.0 (2),0.0 (2),
437339,LinDaoYu,23.599 (33),0.6428 (32),0.010 (33),0.0 (2),0.0 (2),
437096,splinter23,22.808 (34),0.5733 (36),12.000 (5),0.0 (2),0.0 (2),
438482,zjiehang,22.719 (35),0.6709 (26),1.460 (20),0.0 (2),0.0 (2),
440651,chs,22.536 (36),0.6189 (35),0.900 (24),0.0 (2),0.0 (2),
