submission_pk,User,MAE,MAE 1,MAE 2,Data Type
521012,mjeanmougin,0.0198 (1),0.0198 (1),-1.0000 (1),2.0 (2),
521032,maxcordelier,0.0371 (2),0.0371 (2),-1.0000 (1),2.0 (2),
521029,daria-dc,0.0675 (3),0.0675 (3),-1.0000 (1),1.0 (1),
520969,cldecamps,0.0702 (4),0.0702 (4),-1.0000 (1),2.0 (2),
521020,NicolasSompairac,0.0779 (5),0.0779 (5),-1.0000 (1),3.0 (3),
521038,kathiwaury,0.0804 (6),0.0804 (6),-1.0000 (1),1.0 (1),
520893,favilaco,0.0930 (7),0.0930 (7),-1.0000 (1),2.0 (2),
520966,mariakondili,0.0954 (8),0.0954 (8),-1.0000 (1),3.0 (3),
520957,jakobim,0.0976 (9),0.0976 (9),-1.0000 (1),1.0 (1),
