submission_pk,User,full-em,full-f1,verified-em,verified-f1
522040,mandarjoshi,82.99 (1),87.18 (1),90.38 (1),92.96 (1),
767822,usydnlp,72.17 (2),77.36 (2),84.40 (2),87.11 (2),
488485,NEUKG,69.64 (3),73.80 (3),83.36 (3),85.66 (4),
442370,mingyan,68.65 (4),73.07 (5),82.44 (5),85.35 (5),
465660,scv.back,68.21 (5),73.26 (4),82.57 (4),86.05 (3),
435198,dirkweissenborn,67.46 (6),72.80 (6),77.63 (9),82.01 (8),
442713,S3R,66.82 (7),71.91 (7),81.01 (6),84.12 (6),
418843,chrisc,66.37 (8),71.32 (8),79.97 (7),83.70 (7),
623332,Mary,66.09 (9),69.78 (9),79.71 (8),81.88 (9),
423663,shuohang,63.04 (10),68.53 (10),69.70 (10),74.57 (10),
422487,swabha,53.75 (11),58.57 (11),63.20 (11),66.88 (11),
412684,hux444,46.65 (12),52.89 (12),56.96 (12),61.48 (12),
426539,indurthi,42.34 (13),48.65 (13),51.50 (13),57.17 (13),
417070,nodychen,40.87 (14),47.09 (14),51.11 (14),55.98 (14),
411295,triviaqa_admin,40.74 (15),47.06 (15),49.54 (15),55.80 (15),
