submission_pk,User,Mean,F (Junction),F (Wireframe),F (Plane)
662770,dongho.choi,2.67 (2),0.8910 (1),0.7559 (3),0.9659 (4),
671307,Fromandtozh,1.33 (1),0.8836 (2),0.7652 (1),0.9740 (1),
662700,sunset1995,2.67 (2),0.8762 (3),0.7606 (2),0.9709 (3),
662378,sus17,3.67 (3),0.8490 (4),0.6753 (5),0.9722 (2),
661978,pangpang,4.67 (4),0.8407 (5),0.7516 (4),0.9415 (5),
657460,ziou,6.00 (5),0.6062 (6),0.3822 (6),0.9117 (6),
