submission_pk,User,Rank,Score 1,Score 2,Score 3,Score 4
488674,shallowLearner,0.815 (1),0.706 (1),0.824 (2),0.889 (1),0.843 (2),
488679,task10test,0.812 (2),0.686 (2),0.833 (1),0.881 (2),0.849 (1),
