submission_pk,User,Pearson r,MAE,RMSE
651731,NiuTrans,0.8159 (1),0.5350 (6),0.6868 (6),
652547,tharindu,0.8082 (2),0.4018 (1),0.5833 (1),
650279,ssun32,0.7960 (3),0.4119 (2),0.5842 (2),
642533,xc2019,0.7835 (4),0.6030 (9),0.7585 (7),
651647,TMUOU,0.7813 (5),0.4333 (4),0.6223 (4),
652680,Joao1996,0.7668 (6),0.4277 (3),0.6126 (3),
678714,jxnu_hxm,0.7565 (7),0.4695 (5),0.6545 (5),
756860,bicici,0.6152 (8),0.7063 (10),0.9425 (10),
652682,mhkane_225,0.5956 (9),0.5749 (7),0.7633 (8),
606482,fblain,0.5479 (10),0.8253 (11),1.1930 (11),
642219,mak,0.5434 (11),0.5897 (8),0.8110 (9),
651190,jackielo,0.4106 (12),0.8776 (13),1.2669 (13),
651972,leizhou,0.3995 (13),0.8310 (12),1.2195 (12),
