submission_pk,User,correct
859933,BeibeiLin,83.9 (1),
859883,dtdtdt,79.9 (2),
857543,Haijunxiong,71.3 (3),
857741,AlexFor,66.8 (4),
860025,YaoJun,66.6 (5),
859791,ZhangYuxuan,63.7 (6),
859636,robots,63.5 (7),
858276,yunfeng,60.4 (8),
861700,liguodong,59.6 (9),
861973,panfengzhang,59.2 (10),
858468,litian1045,57.0 (11),
858442,dempsey_gxd,56.9 (12),
855245,dempsey_gxd,56.9 (13),
859599,zyw,54.6 (14),
861480,YaoLX,51.9 (15),
860178,wuyi,50.9 (16),
860897,xusong,46.9 (17),
855068,songlichen,43.5 (18),
854910,ctsu-ca,37.7 (19),
861060,leonardogcapozzi,36.4 (20),
860880,Shirlley,27.9 (21),
862027,dfstsdx,27.1 (22),
858378,djfos,26.8 (23),
858514,chbwl1,24.9 (24),
852894,ucamehere,15.2 (25),
855426,jqgao,13.7 (26),
852823,Li_ming,13.4 (27),
855265,gonghewandou,10.9 (28),
855235,NoahShen,8.2 (29),
861628,L000,3.0 (30),
853364,Maryur,2.0 (31),
