submission_pk,User,EN (Gr),DE (Gr),IT (Gr),HR (Gr),TR (Gr),EN-DE (Gr),EN-IT (Gr),EN-HR (Gr),EN-TR (Gr),DE-IT (Gr),DE-HR (Gr),DE-TR (Gr),HR-IT (Gr),HR-TR (Gr),IT-TR (Gr),EN (Bin),DE (Bin),IT (Bin),HR (Bin),TR (Bin),EN-DE (Bin),EN-IT (Bin),EN-HR (Bin),EN-TR (Bin),DE-IT (Bin),DE-HR (Bin),DE-TR (Bin),HR-IT (Bin),HR-TR (Bin),IT-TR (Bin)
488912,gg42554,1.0000 (1),1.0000 (1),1.0000 (1),1.0000 (1),- (-),1.0000 (1),1.0000 (1),1.0000 (1),- (-),1.0000 (1),1.0000 (1),- (-),1.0000 (1),- (-),- (-),1.0000 (1),1.0000 (1),1.0000 (1),1.0000 (1),- (-),1.0000 (1),1.0000 (1),1.0000 (1),- (-),1.0000 (1),1.0000 (1),- (-),1.0000 (1),- (-),- (-),
549819,ayah,- (2),- (2),- (2),- (2),- (-),- (2),- (2),- (2),- (-),- (2),- (2),- (-),- (2),- (-),- (-),- (2),- (2),- (2),- (2),- (-),- (2),- (2),- (2),- (-),0.3500 (2),- (2),- (-),- (2),- (-),- (-),
