submission_pk,User,Prediction score
1103633,huangzixuan0508,0.8220 (1),
1103821,neptuneai,0.7972 (2),
1103143,lv.zf,0.7935 (3),
1103796,_likyoo,0.7846 (4),
1103669,Young_Ji,0.7400 (5),
1103691,kyriemelon,0.6745 (6),
1094492,yunfeng,0.4350 (7),
