submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,- (-),,,
812005,uyaseen,- (-),,,
813319,miopas,- (-),,,
805130,dlsid,- (-),,,
805561,afaji321,- (-),,,
805595,Aicha.Zitouni,- (-),,,
812284,Varad,- (-),,,
submission_pk,User,F1,P,R
813120,Andoree,0.83 (1),0.8930 (1),0.7690 (2),
805561,afaji321,0.73 (2),0.7860 (3),0.6770 (4),
812284,Varad,0.72 (3),0.7230 (5),0.7230 (3),
805130,dlsid,0.72 (3),0.5940 (6),0.9230 (1),
813319,miopas,0.69 (4),0.8440 (2),0.5850 (5),
812005,uyaseen,0.33 (5),0.7370 (4),0.2150 (6),
805595,Aicha.Zitouni,0.02 (6),0.0370 (7),0.0150 (7),
