submission_pk,User,Accuracy,F-score,MRR,MAP
460536,romang,0.1836 (1),0.8042 (1),0.2855 (1),0.1807 (1),
460016,saeednajafi,0.1702 (2),0.7983 (2),0.1702 (2),0.1663 (2),
459407,soumyadeep,0.1663 (3),0.7884 (3),0.1663 (3),0.1630 (3),
