submission_pk,User,AUC performance,Duration
446677,sshekhar,0.5000 (5),0.00 (1),
444208,villatoroe,0.5314 (1),0.00 (1),
451635,resham,0.4932 (6),0.00 (1),
445851,naman,0.4786 (7),0.00 (1),
466709,Jose_E._Valdez-Rodriguez,0.5024 (4),0.00 (1),
451187,sueiras,0.5036 (3),0.00 (1),
455731,ernest.costa,0.5000 (5),0.00 (1),
458401,Likufanele,0.5106 (2),0.00 (1),
