submission_pk,User,f1,recall,prec,acc
919709,ryan.pramana,0.779 (1),0.790 (1),0.768 (2),0.000 (1),
987451,rifkybujana,0.765 (2),0.755 (2),0.775 (1),0.000 (1),
855995,had,0.692 (3),0.683 (3),0.701 (3),0.000 (1),
707075,cahya,0.683 (4),0.674 (4),0.691 (4),0.000 (1),
1114422,thiffany.pratama,0.650 (5),0.636 (5),0.663 (5),0.000 (1),
