submission_pk,User,PSNR,SSIM,Runtime per image [s],Parameters,Extra Data [1] / No Extra Data [0]
655214,GWJ,28.9849 (21),0.8190 (21),0.0849 (16),1289808.0 (32),1.0 (1),
655206,Mulns,28.9910 (20),0.8192 (19),0.0484 (10),461947.0 (10),1.0 (1),
655182,hcwang,28.9766 (23),0.8196 (14),0.1685 (22),558540.0 (15),1.0 (1),
655078,raoumer,27.8983 (39),0.7898 (39),3.0957 (32),46995.0 (4),1.0 (1),
654902,sudo,29.0941 (4),0.8208 (8),0.0400 (7),776968.0 (29),1.0 (1),
654866,ppplang,29.0158 (12),0.8190 (22),0.0950 (18),660536.0 (21),1.0 (1),
653095,TinyJie,29.0411 (9),0.8203 (11),0.0317 (6),433448.0 (8),1.0 (1),
652897,hrishikeshps,28.9971 (17),0.8213 (4),0.3500 (29),1378087.0 (34),1.0 (1),
651795,Now,29.0006 (14),0.8192 (17),0.0310 (5),687056.0 (23),1.0 (1),
650759,martyste,29.0027 (13),0.8192 (18),0.1250 (19),1126941.0 (30),1.0 (1),
650185,xiaochuanLi,28.9978 (16),0.8193 (16),0.0407 (8),599880.0 (17),1.0 (1),
647261,feng1li,28.9213 (30),0.8174 (30),0.2399 (24),1312451.0 (33),1.0 (1),
647086,zzzhy,29.0859 (5),0.8212 (6),0.0908 (17),389907.0 (7),1.0 (1),
641407,chensa,29.0832 (6),0.8216 (3),0.1380 (21),487290.0 (11),1.0 (1),
632912,BearMaxZJU,29.0360 (10),0.8204 (9),0.1380 (21),516307.0 (13),1.0 (1),
622291,zheng222,29.0162 (11),0.8196 (13),0.0450 (9),723312.0 (26),1.0 (1),
615345,cszn,29.0004 (15),0.8199 (12),0.1700 (23),1517571.0 (36),1.0 (1),
655262,HundredOne,16.2496 (41),0.5531 (41),-1.0000 (1),-1.0 (1),0.0 (2),
655239,sysu_wxh,28.8737 (32),0.8160 (32),0.0610 (13),488105.0 (12),0.0 (2),
655096,arian88,28.8360 (33),0.8150 (33),0.3191 (27),632076.0 (20),0.0 (2),
654400,ysb,28.9970 (18),0.8195 (15),0.0600 (12),441770.0 (9),0.0 (2),
653888,MISL,28.9924 (19),0.8188 (25),0.1290 (20),1263304.0 (31),0.0 (2),
653804,ms_ipcv,29.1016 (2),0.8210 (7),0.3100 (26),752232.0 (27),0.0 (2),
653246,Zhang9678,28.7840 (34),0.8138 (34),0.3000 (25),664328.0 (22),0.0 (2),
652616,qiuzhangTiTi,29.0004 (15),0.8199 (12),0.3200 (28),572000.0 (16),0.0 (2),
651984,neptuneai,28.9648 (27),0.8184 (27),0.0100 (4),1591963.0 (37),0.0 (2),
649468,tongtong,29.4469 (1),0.8301 (1),16.0000 (36),0.0 (2),0.0 (2),
648142,nancy_mehta,28.3701 (38),0.8030 (38),6.4300 (35),0.0 (2),0.0 (2),
646508,kingsj0405,29.0999 (3),0.8218 (2),6.0131 (34),22271107.0 (38),0.0 (2),
646361,suen,28.6889 (36),0.8115 (36),0.0702 (15),364726.0 (6),0.0 (2),
643371,HiImageTeam,28.9709 (24),0.8188 (24),0.0500 (11),530419.0 (14),0.0 (2),
643256,heyday097,27.5282 (40),0.7785 (40),0.0098 (3),17808.0 (3),0.0 (2),
642034,DeepBlueAI,28.9701 (25),0.8191 (20),0.5349 (31),1517571.0 (36),0.0 (2),
641490,Amuqeet,28.9382 (29),0.8179 (29),0.0600 (12),618570.0 (18),0.0 (2),
640926,jing2020,28.6440 (37),0.8057 (37),0.0690 (14),765864.0 (28),0.0 (2),
636407,SuckChen,29.0482 (8),0.8203 (10),0.4000 (30),691980.0 (24),0.0 (2),
631970,xyh,28.7264 (35),0.8125 (35),0.0080 (2),168988.0 (5),0.0 (2),
631680,YuqingLiu,29.0796 (7),0.8213 (5),3.6600 (33),1465784.0 (35),0.0 (2),
629342,Xiangtao_Kong,28.9681 (26),0.8186 (26),0.0400 (7),627810.0 (19),0.0 (2),
628894,WenjieXu,28.9462 (28),0.8180 (28),0.0400 (7),715170.0 (25),0.0 (2),
627091,jeasonzhou1,28.8972 (31),0.8169 (31),0.0400 (7),715170.0 (25),0.0 (2),
655243,wozhu,28.9808 (22),0.8189 (23),-1.0000 (1),-1.0 (1),-1.0 (3),
