submission_pk,User,mAP
1142677,never_mind,0.66 (1),
1140202,Ginkgo2002,0.65 (2),
1140473,zty_Heart,0.63 (3),
1141480,yongqiye,0.60 (4),
1146113,phi1.0.1,0.60 (5),
1141629,It_Takes_Two,0.59 (6),
1141520,joyli,0.54 (7),
1141064,CV-Test-yhy,0.54 (8),
1141054,MLJcv,0.53 (9),
1138616,cancong,0.51 (10),
1140384,yukuai26,0.48 (11),
1145325,daooshee,0.46 (12),
965909,pb1997,0.45 (13),
937079,Pangbo,0.45 (14),
1137896,groupname,0.44 (15),
1134264,tester12345,0.44 (15),
1137960,yafeng,0.44 (16),
1141708,UnknownMelon,0.41 (17),
1145217,DDLsquad,0.41 (18),
1147503,GeorgeZZZ,0.40 (19),
1141851,hbj,0.40 (20),
1141805,ArtSky,0.40 (21),
1140712,en.avenue,0.40 (22),
1146582,Wenretium,0.38 (23),
1141449,YouAreRightButWhoCares,0.36 (24),
1137876,OneBreathTeam,0.36 (25),
1136201,qts20031219,0.33 (26),
1140880,jiatianyu,0.31 (27),
1140861,CV_plus,0.31 (27),
1135520,Tree,0.31 (28),
1138482,cartography_group,0.27 (29),
1131674,test_time,0.15 (30),
