submission_pk,User,F1Score
480576,maurobennici,0.7214 (1),
481126,CVxTz,0.7093 (2),
480822,shreyansdhankhar,0.6859 (3),
480714,niranjan12,0.6667 (4),
480784,atif_hassan,0.6575 (5),
480904,pratikkaria,0.6545 (6),
480662,sedflix,0.6524 (7),
480071,himanshukgp,0.6260 (8),
478112,emocontext_organizers,0.5861 (9),
481099,SteveHam,0.5852 (10),
479823,paragdakle,0.5731 (11),
480523,LEEYOONHYUNG,0.5629 (12),
480632,amilaS,0.5531 (13),
481230,puneetbhakar,0.5040 (14),
479726,nilaypathak,0.4410 (15),
480611,sankarshan7,0.3119 (16),
481116,aianurag09,- (17),
