submission_pk,User,UIoU,Average UIoU,IoU
1140866,BaoZhang,42.86 (60),-100.00 (52),42.86 (61),
1093966,DeepImgP3,42.82 (61),-100.00 (52),42.82 (62),
1089389,DIP,42.65 (62),-100.00 (52),42.65 (64),
1113004,xxc5,42.63 (63),-100.00 (52),42.63 (65),
988059,hfghfn,42.51 (64),42.51 (20),42.51 (66),
975930,jgjghj,42.45 (65),42.45 (21),42.45 (67),
1010839,luking,41.63 (66),-100.00 (52),41.63 (68),
1131542,zhaoyang123,41.61 (67),-100.00 (52),41.61 (69),
965346,n2d,41.38 (68),-100.00 (52),41.38 (70),
1096363,KiwiXR,41.37 (69),-100.00 (52),41.37 (71),
1002269,segseg2,41.19 (70),-100.00 (52),41.19 (72),
972535,gfgsd,41.17 (71),41.17 (23),41.17 (73),
1105278,xiexinch,40.87 (72),-100.00 (52),40.87 (74),
1130253,chenmingcan,40.86 (73),-100.00 (52),40.86 (75),
783080,hzcxq,40.60 (74),40.60 (25),40.60 (76),
1030351,prmpwr,40.49 (75),41.98 (22),40.49 (77),
968853,n2d20210902,40.03 (76),40.03 (26),40.03 (78),
966600,Jupiter-Malone,39.92 (77),39.92 (28),39.92 (80),
1063103,bluejangbaljang9,39.65 (78),-100.00 (52),39.65 (81),
991828,kfdshks,39.63 (79),39.63 (30),39.63 (82),
626801,snisarg812,38.41 (80),38.87 (31),37.82 (83),
627880,goodduck2,37.97 (81),39.79 (29),37.60 (84),
1018631,bluejangbaljang4,36.96 (82),-100.00 (52),36.96 (85),
1062760,bluejangbaljang8,36.54 (83),-100.00 (52),36.54 (86),
1147789,ell66891,35.89 (84),35.89 (33),35.89 (87),
1033645,bluejangbaljang5,35.69 (85),-100.00 (52),35.69 (88),
1047137,bluejangbaljang7,34.90 (86),-100.00 (52),34.90 (89),
1047132,bluejangbaljang6,34.90 (86),-100.00 (52),34.90 (89),
1020476,attilalengyel,34.74 (87),36.17 (32),34.74 (90),
1119519,tnny1235,34.48 (88),34.48 (34),34.48 (91),
1146909,ell66789,34.43 (89),34.43 (35),34.43 (92),
978202,bluejangbaljang,33.74 (90),-100.00 (52),33.74 (93),
1105353,zju_wy,33.71 (91),-100.00 (52),33.71 (94),
1119597,xxc6,33.54 (92),-100.00 (52),33.54 (95),
1023044,virajp,32.53 (93),32.39 (36),32.39 (97),
1000413,bluejangbaljang3,32.34 (94),-100.00 (52),32.34 (98),
1109295,xxc3,31.47 (95),-100.00 (52),31.47 (99),
984277,bluejangbaljang2,30.78 (96),-100.00 (52),30.78 (100),
1111029,xxc4,30.37 (97),-100.00 (52),30.37 (102),
971607,asfdasdf,29.59 (98),29.59 (37),29.59 (104),
859754,PointNAS,28.71 (99),-100.00 (52),28.71 (105),
1022297,shivamkhare95,28.65 (100),28.65 (38),28.65 (106),
1031527,SimilarPlacesTesting,28.57 (101),28.57 (39),28.57 (107),
889684,skhare31,26.62 (102),26.62 (41),26.62 (108),
871496,Taeyoung,26.42 (103),27.22 (40),26.42 (109),
1135749,tnny,24.35 (104),24.35 (42),24.35 (110),
1108951,xxc2,23.26 (105),-100.00 (52),23.26 (111),
1072445,Anon1234,22.35 (106),22.35 (43),22.35 (113),
956612,cantoniou,15.81 (107),-100.00 (52),26.62 (108),
929304,cantonioupao,15.81 (107),-100.00 (52),22.74 (112),
731761,xq,15.81 (107),-100.00 (52),0.50 (125),
626069,PackageLost,13.09 (108),13.29 (45),13.09 (115),
1096912,lwy,11.47 (109),-100.00 (52),11.47 (116),
968641,SimPlacesTesting,11.39 (110),11.39 (46),11.39 (117),
1119619,xxc7,11.06 (111),-100.00 (52),11.06 (118),
968557,SimPlTest,9.29 (112),9.29 (48),9.29 (121),
1034536,Anon2Rnd2,8.74 (113),8.74 (49),8.74 (122),
627078,wangfu999,7.40 (114),7.78 (50),7.40 (123),
1034283,Anon_Round2,5.07 (115),5.07 (51),5.07 (124),
1147040,wangshiqin123,-100.00 (116),-100.00 (52),42.78 (63),
1126059,hello_lhc,-100.00 (116),-100.00 (52),-100.00 (126),
1118167,chengbatian,-100.00 (116),-100.00 (52),-100.00 (126),
1096862,Binhui,-100.00 (116),-100.00 (52),-100.00 (126),
1072392,pupu-yan,-100.00 (116),-100.00 (52),56.94 (1),
896599,depp_meng,-100.00 (116),-100.00 (52),46.05 (13),
844085,yyyy,-100.00 (116),-100.00 (52),17.52 (114),
802471,lllll,-100.00 (116),-100.00 (52),30.54 (101),
777438,llll,-100.00 (116),-100.00 (52),32.82 (96),
770321,louzi,-100.00 (116),-100.00 (52),10.23 (120),
767640,luzi,-100.00 (116),-100.00 (52),-100.00 (126),
759127,snake5743,-100.00 (116),-100.00 (52),30.16 (103),
717889,XQHL,-100.00 (116),-100.00 (52),-100.00 (126),
668418,deepriver,-100.00 (116),-100.00 (52),-100.00 (126),
