submission_pk,User,MRAE,RMSE
445578,photi,0.0312 (1),23.8845 (1),
443769,ChangC,0.0320 (2),24.3857 (2),
443756,contstriver,0.0329 (3),24.9745 (3),
440404,chs,0.0439 (4),30.5630 (5),
445365,prakhar.amba,0.0451 (5),29.9541 (4),
445447,Tasti,0.0486 (6),32.7034 (6),
435352,boazarad,0.0952 (7),61.0051 (7),
441008,zrfan,0.1969 (8),191.2532 (8),
