submission_pk,User,ARI
1039457,IskanderA,0.2819 (1),
1034763,AlexanderV,0.2742 (2),
1018282,lilaspourpre,0.2624 (3),
1032525,zlatamaria,0.2348 (4),
1034431,olya-const,0.2324 (5),
1044161,NadezhdaAlsahanova,0.2151 (6),
1037031,Jull-Or,0.2057 (7),
1033481,albertSayapin,0.1997 (8),
1031850,SergeyPetrakov,0.1918 (9),
1032363,petr_sokerin,0.1740 (10),
1040044,VladimirBaikalov,0.1135 (11),
1032270,NikitaBaramiia,0.1038 (12),
1033930,prosvirinKir,0.0650 (13),
