submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
444456,hyu_ss,22.57 (9),0.49 (9),0.97 (8),1.00 (1),0.00 (1),
444457,iim_lab,22.37 (13),0.49 (11),0.34 (9),0.00 (2),0.00 (1),
444455,yifita,23.87 (4),0.56 (3),3.40 (4),0.00 (2),0.00 (1),
445230,Hot_Milk,23.90 (3),0.56 (4),1.50 (6),0.00 (2),0.00 (1),
445296,JSChoi,23.20 (6),0.53 (6),1.00 (7),0.00 (2),0.00 (1),
445352,assafsho,22.93 (8),0.51 (8),360.00 (1),0.00 (2),0.00 (1),
444460,boe_sbg,22.45 (11),0.49 (13),0.17 (11),0.00 (2),0.00 (1),
444458,NEU_SMILE_Lab,22.39 (12),0.49 (12),1.56 (5),0.00 (2),0.00 (1),
444680,yyuan13,24.07 (2),0.56 (1),0.08 (12),0.00 (2),0.00 (1),
444665,cskzh,23.55 (5),0.55 (5),0.20 (10),0.00 (2),0.00 (1),
444792,xixihaha,24.12 (1),0.56 (2),3.50 (3),0.00 (2),0.00 (1),
445569,enoch,23.04 (7),0.52 (7),3.50 (3),0.00 (2),0.00 (1),
445620,cr2018,22.52 (10),0.49 (10),9.23 (2),0.00 (2),0.00 (1),
