submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP large,AP medium,AP small,AR large,AR max=1,AR max=10,AR max=100,AR medium,AR small
1137157,ideacvr666,0.55 (1),0.80 (1),0.60 (1),0.69 (4),0.57 (4),0.38 (1),0.84 (1),0.40 (1),0.65 (1),0.69 (1),0.72 (1),0.54 (1),
1002431,DH-ARI,0.54 (2),0.78 (2),0.59 (2),0.68 (7),0.56 (6),0.37 (2),0.81 (2),0.39 (2),0.63 (2),0.67 (3),0.69 (3),0.53 (3),
952813,junjie.huang,0.54 (3),0.76 (3),0.59 (2),0.68 (6),0.57 (5),0.37 (3),0.81 (3),0.39 (3),0.63 (3),0.67 (2),0.70 (2),0.53 (2),
503927,basedet,0.53 (4),0.76 (4),0.58 (3),0.67 (8),0.56 (7),0.36 (4),0.80 (4),0.38 (4),0.62 (4),0.66 (4),0.69 (4),0.51 (4),
504172,mmdet,0.51 (5),0.75 (6),0.56 (4),0.69 (5),0.54 (10),0.31 (10),0.79 (6),0.38 (6),0.61 (6),0.64 (7),0.68 (6),0.48 (7),
971703,iFighting,0.51 (6),0.75 (5),0.56 (5),0.65 (11),0.54 (8),0.34 (6),0.78 (7),0.38 (5),0.61 (7),0.65 (6),0.67 (7),0.50 (6),
667793,zengguang.shan,0.51 (7),0.74 (7),0.56 (4),0.65 (12),0.54 (9),0.36 (5),0.78 (8),0.38 (5),0.61 (5),0.65 (5),0.68 (5),0.51 (5),
750705,ghg,0.49 (8),0.74 (8),0.54 (6),0.63 (14),0.52 (11),0.32 (8),0.76 (13),0.37 (7),0.58 (11),0.60 (14),0.64 (14),0.42 (15),
728001,DetectoRS,0.48 (9),0.72 (11),0.53 (7),0.62 (17),0.51 (13),0.32 (9),0.78 (10),0.37 (7),0.60 (8),0.64 (8),0.66 (8),0.47 (8),
667776,bot2020,0.48 (10),0.71 (12),0.52 (8),0.60 (21),0.50 (14),0.32 (7),0.74 (20),0.36 (8),0.58 (9),0.61 (9),0.64 (13),0.47 (9),
1004706,ZhiqiLi2,0.47 (11),0.72 (10),0.51 (12),0.65 (9),0.52 (12),0.27 (18),0.80 (5),0.36 (9),0.56 (17),0.59 (15),0.65 (11),0.38 (21),
503024,youtube_test,0.47 (12),0.70 (15),0.52 (9),0.65 (10),0.50 (16),0.26 (20),0.77 (11),0.36 (10),0.58 (12),0.61 (12),0.65 (10),0.43 (13),
615998,jerryz,0.47 (13),0.70 (13),0.52 (10),0.61 (20),0.50 (17),0.30 (12),0.75 (14),0.36 (8),0.58 (10),0.61 (11),0.63 (15),0.44 (11),
931160,KG,0.47 (14),0.73 (9),0.51 (13),0.61 (19),0.50 (15),0.29 (14),0.78 (9),0.36 (10),0.58 (10),0.61 (10),0.66 (9),0.43 (14),
507516,epoh,0.46 (15),0.70 (14),0.51 (11),0.64 (13),0.49 (18),0.25 (21),0.75 (15),0.36 (11),0.57 (16),0.59 (15),0.63 (17),0.41 (18),
632429,xianzhi_google,0.46 (16),0.71 (12),0.51 (13),0.59 (23),0.49 (19),0.30 (11),0.74 (21),0.36 (10),0.57 (15),0.59 (16),0.62 (18),0.42 (16),
508725,ChunyuXie,0.46 (17),0.70 (15),0.50 (16),0.61 (18),0.48 (22),0.26 (19),0.71 (31),0.35 (18),0.54 (23),0.57 (21),0.60 (28),0.40 (19),
1106163,shbae,0.46 (18),0.68 (18),0.50 (14),0.57 (27),0.47 (25),0.29 (13),0.75 (16),0.35 (13),0.57 (13),0.61 (10),0.63 (17),0.45 (10),
517355,wangchuanyuan,0.45 (19),0.68 (17),0.50 (15),0.63 (16),0.48 (21),0.25 (23),0.76 (12),0.36 (12),0.57 (14),0.61 (13),0.64 (12),0.42 (15),
495668,nemonameless,0.45 (20),0.69 (16),0.50 (17),0.63 (14),0.48 (20),0.24 (25),0.76 (13),0.35 (14),0.56 (18),0.60 (14),0.63 (16),0.42 (17),
782982,reussite,0.45 (21),0.68 (20),0.49 (18),0.57 (26),0.47 (24),0.28 (15),0.73 (23),0.35 (14),0.56 (20),0.59 (17),0.62 (23),0.42 (15),
504406,starsholic,0.44 (22),0.68 (19),0.48 (19),0.63 (15),0.47 (26),0.22 (28),0.74 (18),0.35 (17),0.55 (22),0.58 (19),0.62 (20),0.39 (20),
768142,Guyz,0.44 (23),0.66 (21),0.48 (20),0.54 (35),0.46 (27),0.28 (16),0.73 (25),0.35 (16),0.56 (19),0.59 (16),0.62 (19),0.43 (12),
972369,fd20090aq,0.44 (24),0.66 (23),0.47 (22),0.58 (24),0.48 (23),0.25 (24),0.74 (19),0.34 (19),0.54 (24),0.57 (20),0.62 (21),0.37 (22),
579888,tumaini,0.44 (25),0.66 (22),0.47 (21),0.55 (30),0.46 (28),0.27 (17),0.73 (24),0.35 (15),0.56 (21),0.59 (18),0.62 (22),0.42 (17),
735018,jirui,0.43 (26),0.64 (27),0.46 (23),0.54 (33),0.45 (29),0.25 (22),0.70 (32),0.34 (20),0.53 (25),0.55 (26),0.59 (31),0.36 (24),
