submission_pk,User,Loss
976502,Ajoo,0.0890 (1),
976321,TeamQ,0.3385 (2),
977616,GuineaPig,0.3386 (3),
976096,KC988,0.3438 (4),
976521,bkleiner,0.5356 (5),
