submission_pk,User,Accuracy,F-score,MRR,MAP
459715,romang,0.3280 (1),0.8454 (1),0.4286 (1),0.3278 (1),
460408,saeednajafi,0.2840 (2),0.8321 (2),0.3741 (2),0.2840 (2),
460628,soumyadeep,0.2680 (3),0.8079 (3),0.2680 (3),0.2678 (3),
