submission_pk,User,F1,Accuracy,Precision,Recall
665883,mutaz,0.2773 (1),0.4090 (1),0.3467 (2),0.2618 (1),
854926,balhafni,0.2460 (2),0.4078 (2),0.3368 (3),0.2362 (2),
640741,ArabicProcessors,0.2307 (3),0.3844 (3),0.2743 (4),0.2244 (5),
689285,wissam,0.2251 (4),0.3628 (6),0.2404 (6),0.2327 (4),
633470,mekki,0.2227 (5),0.3640 (5),0.2504 (5),0.2184 (6),
649766,Alexa,0.2185 (6),0.3604 (7),0.2244 (7),0.2332 (3),
650502,ahmedAliwy,0.2005 (7),0.3446 (8),0.3998 (1),0.1790 (8),
633517,moustafa_sherif,0.1835 (8),0.3650 (4),0.2096 (8),0.1859 (7),
642972,Ghoul,0.1460 (9),0.3270 (9),0.1856 (10),0.1482 (9),
641684,licvol,0.1380 (10),0.2906 (10),0.1936 (9),0.1380 (10),
